Character ID,Character Name,Character Type,Parent ID,State ID,State Name,State Description
10,Phyllode shape,discrete,,22,Oblanceolate to obovate,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/36191?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#oblanceolate-to-obovate","type":2}]
10,Phyllode shape,discrete,,23,Triangular,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22024?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#triangular","type":2}]
11,Phyllode arrangement,discrete,,24,Fasciculate,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#fasciculate","type":2}]
11,Phyllode arrangement,discrete,,25,Whorled,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/19998?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#whorled","type":2}]
11,Phyllode arrangement,discrete,,26,Scattered,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/10682?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#scattered","type":2}]
12,Phyllode number (per whorl),grouping,,,,
13,Phyllode colour,discrete,,27,Glaucous or grey,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28872?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#glaucous-or-grey","type":2}]
13,Phyllode colour,discrete,,28,Sub-glaucous to grey-green,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/22024?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#sub-glaucous-to-grey-green","type":2}]
13,Phyllode colour,discrete,,29,Green,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28760?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#green","type":2}]
14,Phyllode hairs (presence),discrete,,30,Phyllode hairs present,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28872?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#phyllode-hairs-present","type":2}]
14,Phyllode hairs (presence),discrete,,31,Phyllode hairs absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28854?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#phyllode-hairs-absent","type":2}]
15,Phyllode cross-section,discrete,,32,Terete,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/124426?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#terete","type":2}]
15,Phyllode cross-section,discrete,,33,Sub-terete,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/18518?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#sub-terete","type":2}]
15,Phyllode cross-section,discrete,,34,Compressed,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#compressed","type":2}]
15,Phyllode cross-section,discrete,,35,Quadrangular,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/40929?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#quadrangular","type":2}]
15,Phyllode cross-section,discrete,,36,Pentagonal,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#pentagonal","type":2}]
15,Phyllode cross-section,discrete,,37,Flat,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/25174?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#flat","type":2}]
16,Phyllode nerve number (non-flat phyllodes),discrete,,38,Zero,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/124426?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#zero","type":2}]
16,Phyllode nerve number (non-flat phyllodes),discrete,,39,Four,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/40929?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#four","type":2}]
16,Phyllode nerve number (non-flat phyllodes),discrete,,40,Five,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#five","type":2}]
16,Phyllode nerve number (non-flat phyllodes),discrete,,41,Eight,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#eight","type":2}]
16,Phyllode nerve number (non-flat phyllodes),discrete,,42,Numerous,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#numerous","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,43,Nerves absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/27083?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#nerves-absent","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,44,1 per face,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28646?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#1-per-face","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,45,2 per face,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28713?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#2-per-face","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,46,3 per face,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/25254?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#3-per-face","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,47,4 per face,[{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#4-per-face","type":2}]
17,Phyllode nerve number (flat or compressed phyllodes),discrete,,48,numerous per face,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28791?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#numerous-per-face","type":2}]
18,Phyllode nerve anastomoses (multi-nerved phyllodes only),discrete,,49,Anastomoses numerous,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/39773?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#anastomoses-numerous","type":2}]
18,Phyllode nerve anastomoses (multi-nerved phyllodes only),discrete,,50,Anastomoses few,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/28791?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#anastomoses-few","type":2}]
18,Phyllode nerve anastomoses (multi-nerved phyllodes only),discrete,,51,Anastomoses absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/21967?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#anastomoses-absent","type":2}]
19,Phyllode apex (pungency),discrete,,52,Sharply pungent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/36241?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/acacia#sharply-pungent","type":2}]
