Character ID,Entity ID,Min Value,Max Value,Other Values
21,91,1,10,10;30;30
21,92,1,12,12;40;40
21,93,1,15,15;47;47
21,94,1,4,4;9;9
21,95,1,6,6;25;25
21,96,1,20,20;40;40
21,97,1,20,20;40;40
21,98,1,20,20;60;60
21,99,1,25,25;50;50
21,100,1,25,25;70;70
21,101,1,8,8;20;20
21,102,1,40,40;100;100
21,103,1,3.5,3.5;7.5;8
21,104,1,3,3;5.5;6
21,105,1,4.5,4.5;8;8
21,106,1,10,10;20;20
21,107,1,30,30;100;100
22,1,1,1,1;2.5;2.5
22,2,1,2,2;5;5
22,3,1,0.5,0.5;2;2
22,4,1,1,1;2;2
22,5,1,0.5,0.5;1.5;2
22,6,1,1.5,1.5;3;3
22,7,1,2,2;3;3
22,8,1,2,2;3;3
22,9,1,1.5,1.5;2;2
22,10,1,1,1;2;2
22,11,1,1,1;2;2
22,12,1,2,2;5;5
22,13,1,2.5,2.5;3.5;3.5
22,14,1,2,2;3;3
22,15,1,2,2;4;4
22,16,1,2,2;4;4
22,17,1,4,4;8;8
22,18,1,4,4;8;8
22,19,1,4,4;5;5
22,20,1,4,4;9;9
22,21,1,2,2;2.5;2.5
22,22,1,0.5,0.5;2;2
22,23,1,1,1;1.5;1.5
22,24,1,1.5,1.5;2;2
22,25,1,1,1;1.5;1.5
22,26,1,0.5,0.5;1.5;1.5
22,27,1,1.5,1.5;3;3
22,28,1,0.5,0.5;1.5;1.5
22,29,1,0.5,0.5;1.5;1.5
22,30,1,0.5,0.5;1.5;1.5
22,31,1,0.5,1;1.5;1.5
22,32,1,0.5,0.5;1.5;1.5
22,33,1,0.5,0.5;1.5;1.5
22,34,1,1,1;1.5;1.5
22,35,1,0.5,0.5;1.5;1.5
22,36,1,3,3;4;4
22,37,1,0.3,0.3;0.7;1
22,38,1,1.5,1.5;2.5;2.5
22,39,1,0.5,0.5;1.5;1.5
22,40,1,1,1;3;3
22,41,1,1,1;3;3
22,42,1,1,1;3;3
22,43,1,1,1;2;2
22,44,1,2,2;4;4
