Character ID,Entity ID,Min Value,Max Value,Other Values
24,196,1,3,3;40;40
24,197,1,10,10;35;35
24,198,1,2,2;11;11
24,199,1,12,12;50;50
24,200,1,4,4;50;50
24,201,1,12,12;50;50
24,202,1,50,50;250;250
24,203,1,30,30;250;250
24,204,1,15,15;70;70
24,205,1,0.3,0.3;1.5;1.5
24,206,1,8,8;50;50
25,1,1,1,1;3.5;3.5
25,2,1,5,5;10;10
25,3,1,4,4;5;5
25,4,1,1.5,1.5;2.5;2.5
25,5,1,2,2;4;4
25,6,1,0.2,0.2;1;1
25,7,1,0.8,0.8;1.1;1.1
25,8,1,0.3,0.3;0.7;0.7
25,9,1,1,1;1.3;1.3
25,10,1,0.2,0.2;0.4;0.4
25,11,1,1,1;1.8;1.8
25,12,1,1,1;2;2
25,13,1,0.5,0.5;1;1
25,14,1,1,1;1.3;1.3
25,15,1,1,1;1.5;1.5
25,16,1,0.7,0.7;1.3;1.3
25,17,1,0.3,0.3;0.8;0.8
25,18,1,0.5,0.5;1.2;1.2
25,19,1,0.5,0.5;1;1
25,20,1,2,2;3;3
25,21,1,0.8,0.8;1.2;1.2
25,22,1,0.5,0.5;2.5;2.5
25,23,1,0.5,0.5;1.5;1.5
25,24,1,1,1;1.5;1.5
25,25,1,0.3,0.3;0.8;0.8
25,26,1,2.5,2.5;3.5;3.5
25,27,1,1,1;1.5;1.5
25,28,1,0.5,0.5;1.5;1.5
25,29,1,0.6,0.6;1.5;1.5
25,30,1,0.7,0.7;1;1
25,31,1,1,1;2;2
25,32,1,2,2;3;3
25,33,1,0.7,0.7;2.5;2.5
25,34,1,1.5,1.5;2;2
25,35,1,0.5,0.5;1;1
25,36,1,0.5,0.5;1.5;1.5
25,37,1,1,1;1.5;1.5
25,38,1,0.3,0.3;0.8;0.8
25,39,1,1.2,1.2;2.5;2.5
25,40,1,0.5,0.5;1.5;1.5
25,41,1,2.5,2.5;4.5;4.5
25,42,1,2,2;3;3
25,43,1,0.5,0.5;1.5;1.5
25,44,1,0.5,0.5;1.5;1.5
25,45,1,0.3,0.3;0.7;0.7
25,46,1,0.5,0.5;1.3;1.3
25,47,1,2,2;4;4
