Character ID,Character Name,Character Type,Parent ID,State ID,State Name,State Description
20,Structures attached at base of ovary or nut,discrete,4,53,Both scales and bristles absent,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/17094?maxsize=1024","type":2},{"caption":"Information","path":"https://vicflora.rbg.vic.gov.au/pages/cyperaceae#both-scales-and-bristles-present","type":2}]
21,Number of scales or bristles attached at base of nut,grouping,4,,,
22,Colour,discrete,5,54,Green,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/36549?maxsize=1024","type":2}]
22,Colour,discrete,5,55,Straw, cream or yellow,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/16682?maxsize=1024","type":2}]
22,Colour,discrete,5,56,White or grey,
22,Colour,discrete,5,57,Black,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/12350?maxsize=1024","type":2}]
22,Colour,discrete,5,58,Brown,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/16590?maxsize=1024","type":2}]
22,Colour,discrete,5,59,Red-brown,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/16768?maxsize=1024","type":2}]
22,Colour,discrete,5,60,Red or orange,[{"caption":"Image","path":"https://data.rbg.vic.gov.au/cip/preview/image/public/31650?maxsize=1024","type":2}]
23,Length,grouping,5,,,
24,cm,numeric,7,,,
25,mm,numeric,8,,,
26,cm,numeric,11,,,
27,mm,numeric,13,,,
28,mm,numeric,17,,,
29,,numeric,21,,,
30,mm,numeric,23,,,
